City,Region,Public_Event_Name,Event_Date,Traffic_Report_Date,Traffic_Level,Complaint_Type,Citizen_Complaint,Complaint_Date,Permit_Type,Permit_Status,Permit_Application_Date,Utility_Type,Utility_Usage_Amount,Utility_Report_Date,Temperature_C,Humidity_Percent
Tabuk,Central,Persistent reciprocal flexibility,2025-08-10,2025-08-10,Low,Road Damage,Sort cost process role up base perform just. Adult language possible owner recognize art affect.,2025-01-20,Construction,Rejected,2024-12-25,Electricity,3360.05,2025-08-10,32.5,50.0
Makkah,Northern,Cloned needs-based encoding,2025-08-10,2025-08-10,Severe,Road Damage,Laugh late kid dark deal tough. What lay become consumer.,2024-12-29,Renovation,Approved,2025-06-06,Gas,9886.64,2025-08-10,37.7,74.0
Riyadh,Central,Phased systemic website,2025-08-10,2025-08-10,High,Road Damage,Thought game follow draw card fly seat. Able throughout glass stage along pass. Stuff feel charge.,2025-06-17,Business License,Pending,2025-07-13,Water,7346.87,2025-08-10,34.2,66.7
Tabuk,Southern,Ergonomic optimal leverage,2025-08-10,2025-08-10,Low,Noise,Bank read usually both. Window deep final half yeah population edge.,2025-07-10,Renovation,Rejected,2024-09-03,Electricity,8630.69,2025-08-10,22.4,63.8
Riyadh,Central,Re-engineered dynamic software,2025-08-10,2025-08-10,Severe,Electricity,Effort party culture whether white. Even natural answer picture green reveal.,2024-12-02,Construction,Approved,2025-05-26,Gas,9699.25,2025-08-10,20.7,39.4
Dammam,Central,Multi-layered needs-based algorithm,2025-08-10,2025-08-10,Low,Waste,Real course even forget. Group forward claim participant. Opportunity news material design stage.,2025-01-25,Construction,Rejected,2025-02-23,Water,5115.51,2025-08-10,44.8,29.0
Riyadh,Southern,Polarized radical emulation,2025-08-10,2025-08-10,Moderate,Electricity,Operation pretty eye street PM avoid. Share produce house. Every choice condition yes perhaps.,2024-10-23,Business License,Rejected,2025-06-11,Electricity,521.69,2025-08-10,44.1,77.7
Madinah,Central,Organized radical throughput,2025-08-10,2025-08-10,Severe,Road Damage,Claim other account art role establish down. Part word bill improve husband.,2025-02-18,Event,Pending,2024-11-04,Water,6430.29,2025-08-10,22.1,61.8
Madinah,Central,Innovative directional groupware,2025-08-10,2025-08-10,Low,Water Leak,Ten place last bad resource production. Baby investment owner attorney.,2025-01-22,Business License,Pending,2025-04-25,Gas,9796.83,2025-08-10,18.5,18.3
Dammam,Central,Focused bandwidth-monitored matrices,2025-08-10,2025-08-10,Low,Waste,"Necessary through owner while.
Against really pull road sing range all. Than put body.",2025-04-22,Event,Rejected,2025-02-10,Gas,7981.05,2025-08-10,33.9,49.2
Tabuk,Central,Total user-facing structure,2025-08-10,2025-08-10,Severe,Water Leak,Think month than shake their decision. Area yes fight. Republican design old ten agent per.,2024-10-12,Renovation,Pending,2024-12-11,Water,3295.26,2025-08-10,15.1,61.7
Riyadh,Northern,Sharable global success,2025-08-10,2025-08-10,Severe,Water Leak,Project continue above where. Employee daughter single produce. Chair summer wonder brother catch.,2025-07-05,Business License,Pending,2025-06-26,Water,8989.86,2025-08-10,27.1,85.4
Tabuk,Western,User-centric disintermediate contingency,2025-08-10,2025-08-10,High,Noise,Mr voice human keep letter animal election. Condition possible language style.,2025-04-01,Event,Approved,2024-09-03,Electricity,7131.85,2025-08-10,24.1,73.5
Jeddah,Northern,Up-sized tangible framework,2025-08-10,2025-08-10,Low,Water Leak,Front rock friend recently. Soon reach find manage notice expect quite personal.,2025-07-16,Construction,Approved,2025-05-31,Gas,7804.62,2025-08-10,25.5,49.7
Dammam,Western,Synchronized systematic installation,2025-08-10,2025-08-10,Severe,Road Damage,Baby campaign happy sister kid sea quality poor. Help section become number cold compare.,2025-06-01,Construction,Rejected,2025-05-18,Water,9601.58,2025-08-10,36.0,71.1
Riyadh,Southern,Cross-group 6thgeneration customer loyalty,2025-08-10,2025-08-10,Severe,Electricity,Join recognize become level. Foot keep rate reach individual.,2024-10-07,Construction,Approved,2025-04-06,Gas,7876.11,2025-08-10,21.6,59.9
Makkah,Northern,Up-sized homogeneous encryption,2025-08-10,2025-08-10,Moderate,Waste,Study threat mother newspaper employee. Visit similar enough friend.,2025-08-06,Business License,Approved,2025-01-27,Gas,2480.26,2025-08-10,22.3,50.9
Madinah,Western,Public-key transitional orchestration,2025-08-10,2025-08-10,High,Noise,Research throw win accept easy thus onto south. Central trade soon you recently.,2025-01-21,Construction,Pending,2024-11-21,Water,1923.92,2025-08-10,29.6,53.8
Jeddah,Central,Profound radical firmware,2025-08-10,2025-08-10,Moderate,Road Damage,Trouble agree front certain. Language when president rule simply so.,2024-12-23,Construction,Pending,2025-01-05,Gas,8178.36,2025-08-10,16.8,72.1
Riyadh,Western,Upgradable coherent synergy,2025-08-10,2025-08-10,Moderate,Electricity,Modern prevent according church. Claim herself writer free it though test.,2024-08-13,Construction,Pending,2025-01-23,Water,8483.16,2025-08-10,33.4,48.5
Dammam,Southern,Virtual optimal function,2025-08-10,2025-08-10,Severe,Electricity,Senior finally significant culture effect. Month account hour fall stock who sound.,2025-08-10,Construction,Pending,2025-04-13,Electricity,2635.93,2025-08-10,17.3,85.6
Riyadh,Northern,Cross-group neutral structure,2025-08-10,2025-08-10,Low,Waste,Admit shake from century. Major bank far why.,2025-01-13,Event,Rejected,2025-06-19,Water,6296.21,2025-08-10,20.9,18.5
Dammam,Eastern,User-friendly transitional frame,2025-08-10,2025-08-10,Low,Road Damage,Finish across not manager. Quite without analysis history rise trip officer.,2025-03-22,Renovation,Pending,2025-04-28,Water,7065.51,2025-08-10,38.5,55.7
Makkah,Northern,Persevering composite implementation,2025-08-10,2025-08-10,Severe,Waste,Police physical tough next work. Ago democratic social result control mind audience.,2025-03-20,Event,Rejected,2025-06-15,Gas,8273.29,2025-08-10,35.1,79.8
Jeddah,Southern,Implemented even-keeled neural-net,2025-08-10,2025-08-10,High,Water Leak,Recognize gas face leader. Day join industry our know author. Option character see say gun.,2025-03-01,Business License,Approved,2025-04-02,Gas,772.9,2025-08-10,43.1,55.9
Madinah,Southern,Distributed systemic access,2025-08-10,2025-08-10,High,Water Leak,That prove remember. Character fall heavy develop ever cup process.,2025-07-30,Event,Pending,2025-07-08,Gas,6560.53,2025-08-10,17.5,42.8
Tabuk,Southern,Switchable optimizing productivity,2025-08-10,2025-08-10,High,Electricity,Who will choice remain surface support another. Whatever us election miss civil.,2025-01-09,Event,Approved,2025-08-04,Gas,6299.81,2025-08-10,15.4,60.4
Dammam,Northern,Compatible interactive circuit,2025-08-10,2025-08-10,Low,Electricity,"Evening itself sure yard.
Something everybody sense news leader able. Boy watch there movie.",2025-02-03,Construction,Pending,2025-03-23,Water,4366.37,2025-08-10,23.8,49.3
Madinah,Southern,Stand-alone upward-trending array,2025-08-10,2025-08-10,Severe,Noise,Beautiful social rich so. Enter act history mission better yourself.,2025-03-31,Construction,Pending,2025-06-28,Gas,2146.41,2025-08-10,15.8,39.2
Madinah,Western,Exclusive uniform adapter,2025-08-10,2025-08-10,High,Noise,Popular debate owner someone space brother trouble. Bar wait where report.,2025-02-05,Renovation,Pending,2025-05-29,Water,2374.08,2025-08-10,17.9,45.6
Tabuk,Western,Realigned exuding orchestration,2025-08-10,2025-08-10,Moderate,Waste,Fish cultural throw strong spend how fish reason. Care blue this tree game.,2025-07-04,Business License,Rejected,2024-12-25,Electricity,4321.43,2025-08-10,38.3,71.8
Riyadh,Western,Open-architected maximized neural-net,2025-08-10,2025-08-10,Moderate,Noise,More until there third dark drop. Green admit agency remember.,2024-11-01,Construction,Approved,2024-10-27,Electricity,7350.12,2025-08-10,24.0,68.3
Riyadh,Northern,Open-source 24hour parallelism,2025-08-10,2025-08-10,Low,Waste,"Laugh what difficult.
Result way woman push trip fight. Bank middle every natural policy news.",2025-01-03,Event,Approved,2024-10-03,Electricity,6647.91,2025-08-10,33.3,42.4
Tabuk,Central,Multi-lateral mobile task-force,2025-08-10,2025-08-10,Severe,Noise,I floor two similar kind. Line condition machine writer. Hard listen call decade town.,2025-06-11,Construction,Pending,2025-04-28,Gas,4246.15,2025-08-10,35.0,76.8
Madinah,Northern,Assimilated impactful workforce,2025-08-10,2025-08-10,Severe,Electricity,Dinner character teacher sometimes ever finish. Vote bill with.,2025-03-11,Construction,Approved,2025-06-11,Electricity,5999.23,2025-08-10,36.1,63.4
Riyadh,Eastern,Progressive non-volatile circuit,2025-08-10,2025-08-10,Severe,Waste,Address on office food form. Too practice mean possible should.,2025-07-23,Event,Pending,2025-04-18,Gas,9995.98,2025-08-10,25.1,61.8
Riyadh,Southern,Profit-focused incremental definition,2025-08-10,2025-08-10,Moderate,Water Leak,Factor exactly bill degree. Class case assume world.,2025-02-19,Renovation,Approved,2024-10-01,Gas,7228.48,2025-08-10,22.2,62.5
Riyadh,Central,Future-proofed asynchronous circuit,2025-08-10,2025-08-10,Low,Noise,Ten store media law particularly rest I. Decide star economy second outside consider million.,2025-05-26,Business License,Approved,2024-09-23,Electricity,266.71,2025-08-10,41.2,84.6
Riyadh,Western,Down-sized secondary synergy,2025-08-10,2025-08-10,Moderate,Waste,Mr fire special international. Cut address spring item respond.,2025-07-13,Construction,Pending,2024-11-08,Electricity,2426.25,2025-08-10,18.1,14.8
Riyadh,Eastern,Intuitive value-added protocol,2025-08-10,2025-08-10,Low,Road Damage,Tell certain anything. Store truth bag. Civil expert civil affect.,2024-09-13,Renovation,Pending,2025-03-31,Water,2068.88,2025-08-10,29.6,32.7
Makkah,Eastern,User-friendly asynchronous encoding,2025-08-10,2025-08-10,Low,Road Damage,Attack great local or. Fly discuss tell behavior someone network with.,2025-02-14,Event,Rejected,2024-08-18,Gas,2632.43,2025-08-10,25.1,18.5
Riyadh,Western,Exclusive 6thgeneration interface,2025-08-10,2025-08-10,Moderate,Electricity,Summer rather high need charge throughout pressure. Feel kind big.,2025-03-15,Event,Approved,2024-11-07,Gas,937.47,2025-08-10,38.4,67.6
Makkah,Central,Self-enabling object-oriented forecast,2025-08-10,2025-08-10,Severe,Water Leak,Drug beyond something. Leg store cultural data sing.,2025-04-28,Renovation,Pending,2025-04-22,Gas,7692.51,2025-08-10,28.6,58.6
Makkah,Central,Versatile multi-state access,2025-08-10,2025-08-10,Low,Road Damage,Thing month type case compare tough. Animal attack he history total project.,2025-07-16,Event,Pending,2025-04-06,Gas,239.74,2025-08-10,36.7,77.4
Riyadh,Western,Function-based dynamic extranet,2025-08-10,2025-08-10,High,Electricity,Cultural television much consumer class. Similar fill central learn role stuff.,2025-05-06,Business License,Approved,2025-02-02,Water,6753.56,2025-08-10,30.8,76.0
Dammam,Eastern,Decentralized full-range approach,2025-08-10,2025-08-10,High,Road Damage,Process decade into now. Policy simple threat message traditional. Break individual woman far.,2025-01-29,Construction,Approved,2025-04-02,Electricity,7552.71,2025-08-10,30.9,41.7
Jeddah,Southern,Face-to-face coherent ability,2025-08-10,2025-08-10,Low,Noise,Note become and need must loss art. Between old share about year foot big.,2024-11-03,Construction,Rejected,2025-05-12,Gas,4546.84,2025-08-10,28.2,38.8
Dammam,Western,User-centric demand-driven interface,2025-08-10,2025-08-10,High,Water Leak,Small attack into worker. Program eat free under. Drug another she feel natural woman.,2025-03-22,Renovation,Approved,2024-08-29,Gas,2945.03,2025-08-10,24.0,31.2
Tabuk,Eastern,Secured incremental challenge,2025-08-10,2025-08-10,Moderate,Water Leak,Blue woman while reflect dream. Probably stage weight participant economy.,2025-05-30,Business License,Pending,2025-08-02,Gas,7736.73,2025-08-10,22.9,71.5
Makkah,Central,Intuitive 4thgeneration migration,2025-08-10,2025-08-10,Severe,Waste,Prove toward begin hour business. Task bit offer than yeah. Anything economic professional reduce.,2024-12-24,Business License,Approved,2024-09-24,Gas,964.38,2025-08-10,18.4,54.2
Makkah,Central,Assimilated intangible contingency,2025-08-10,2025-08-10,Moderate,Water Leak,Sure hair would wait off situation. Always land young fact agency dark.,2024-10-11,Business License,Rejected,2025-05-31,Water,6984.06,2025-08-10,26.3,67.8
Jeddah,Central,Virtual explicit functionalities,2025-08-10,2025-08-10,High,Noise,"How reality family risk agency forward nation.
Word section like design. Born few six create true.",2024-09-02,Renovation,Rejected,2024-09-12,Gas,9787.11,2025-08-10,32.9,63.1
Makkah,Central,Horizontal reciprocal budgetary management,2025-08-10,2025-08-10,Severe,Water Leak,True international issue report institution yard. Include service professor they college no a.,2025-04-07,Renovation,Approved,2025-08-07,Gas,9802.55,2025-08-10,36.1,86.9
Dammam,Western,Intuitive transitional definition,2025-08-10,2025-08-10,Low,Waste,Grow you author under film away field good. Maintain long low performance ready.,2025-04-06,Construction,Rejected,2024-10-12,Water,5921.44,2025-08-10,36.8,81.3
Madinah,Central,Robust mobile conglomeration,2025-08-10,2025-08-10,Severe,Water Leak,Deal police hot a. Also red manager ten hard drive most.,2025-04-23,Renovation,Pending,2025-05-21,Electricity,6218.44,2025-08-10,23.6,75.5
Riyadh,Central,Managed mission-critical website,2025-08-10,2025-08-10,Severe,Water Leak,Put all across current. Again money quality star defense.,2025-06-20,Construction,Approved,2025-05-20,Electricity,8636.17,2025-08-10,44.7,57.2
Tabuk,Southern,Self-enabling radical portal,2025-08-10,2025-08-10,Low,Noise,Herself care civil lead difference position there. Major challenge quickly fact much after man.,2024-11-28,Renovation,Pending,2025-03-19,Gas,5280.57,2025-08-10,39.1,64.1
Makkah,Southern,Secured hybrid matrix,2025-08-10,2025-08-10,High,Road Damage,Enjoy bag very character minute. Dream himself song true.,2025-07-06,Construction,Rejected,2025-03-20,Gas,5227.77,2025-08-10,40.5,27.1
Jeddah,Western,Advanced well-modulated extranet,2025-08-10,2025-08-10,Low,Noise,Sit way culture year degree. Daughter heart however give. Executive run face.,2024-11-07,Business License,Rejected,2025-05-06,Electricity,4007.92,2025-08-10,38.1,19.2
Makkah,Central,Multi-tiered composite superstructure,2025-08-10,2025-08-10,Severe,Waste,Start course piece Mrs senior tax. See public if perhaps.,2024-10-21,Business License,Rejected,2025-07-16,Electricity,5327.65,2025-08-10,35.1,10.2
Madinah,Western,Upgradable encompassing leverage,2025-08-10,2025-08-10,Moderate,Electricity,"Later back answer current. Certain provide popular technology store.
Partner between imagine oil.",2024-11-15,Construction,Rejected,2025-02-15,Electricity,8002.44,2025-08-10,43.7,49.4
Madinah,Western,Automated zero administration access,2025-08-10,2025-08-10,Low,Noise,Positive actually herself.,2024-09-24,Business License,Rejected,2025-07-29,Electricity,3763.15,2025-08-10,40.2,60.8
Tabuk,Central,User-centric value-added flexibility,2025-08-10,2025-08-10,High,Water Leak,Issue address wind. Official father employee policy. Nation great own important out.,2024-11-24,Construction,Pending,2025-05-03,Electricity,4003.82,2025-08-10,40.5,84.3
Riyadh,Western,Stand-alone composite database,2025-08-10,2025-08-10,Low,Waste,Explain knowledge industry member safe very win. Decide reflect war when yard stand.,2024-11-21,Renovation,Pending,2025-04-16,Water,8435.67,2025-08-10,27.7,58.0
Madinah,Southern,Team-oriented exuding intranet,2025-08-10,2025-08-10,Severe,Electricity,Wish run activity each. Third black resource.,2025-07-02,Business License,Pending,2024-12-28,Water,1754.76,2025-08-10,34.3,65.5
Madinah,Eastern,Pre-emptive even-keeled concept,2025-08-10,2025-08-10,High,Road Damage,Service last beyond about hour traditional shoulder. Movement different appear appear cell.,2024-09-05,Renovation,Rejected,2024-10-11,Electricity,6879.15,2025-08-10,36.3,31.7
Madinah,Southern,Sharable stable paradigm,2025-08-10,2025-08-10,Moderate,Road Damage,Enough lot talk yet support economy. Body usually call serious kind.,2025-05-09,Business License,Rejected,2025-05-21,Water,6286.8,2025-08-10,35.6,51.0
Riyadh,Southern,De-engineered 5thgeneration strategy,2025-08-10,2025-08-10,High,Water Leak,Mention skin none next Mr big adult. Soldier often seek.,2025-05-15,Event,Rejected,2025-02-10,Electricity,5825.84,2025-08-10,40.0,25.7
Madinah,Southern,Enterprise-wide actuating Graphical User Interface,2025-08-10,2025-08-10,Low,Electricity,Political another for. Well say everybody be type necessary especially evening.,2025-05-02,Event,Rejected,2025-05-22,Electricity,6237.82,2025-08-10,25.7,43.8
Tabuk,Western,Devolved next generation functionalities,2025-08-10,2025-08-10,Moderate,Electricity,Usually alone thus remember believe list. But any pay.,2024-12-10,Event,Rejected,2025-03-17,Gas,6155.18,2025-08-10,19.8,58.0
Madinah,Western,Upgradable context-sensitive collaboration,2025-08-10,2025-08-10,Low,Water Leak,Feeling teacher unit speech purpose modern catch. Learn very leader mean plant lead he.,2025-03-14,Renovation,Rejected,2025-01-17,Gas,8107.05,2025-08-10,34.8,76.4
Jeddah,Eastern,Triple-buffered leadingedge conglomeration,2025-08-10,2025-08-10,High,Waste,Hair half short fire. Edge hit service professor get remember work.,2024-11-04,Renovation,Approved,2024-12-16,Gas,5976.26,2025-08-10,22.1,87.4
Dammam,Central,Function-based global concept,2025-08-10,2025-08-10,Moderate,Noise,Together cut according thank writer member treat. Art tonight dark organization range center.,2024-12-25,Business License,Rejected,2024-12-19,Gas,6740.73,2025-08-10,43.0,30.8
Makkah,Eastern,Automated attitude-oriented application,2025-08-10,2025-08-10,Severe,Road Damage,Arm even and professor however attention action increase. Go hot audience audience.,2025-06-28,Construction,Rejected,2025-01-28,Electricity,9515.83,2025-08-10,23.9,19.7
Riyadh,Northern,Face-to-face well-modulated workforce,2025-08-10,2025-08-10,Low,Electricity,Whether grow both operation art think town. Age mention role more popular process that move.,2025-05-12,Construction,Approved,2025-02-04,Electricity,8091.49,2025-08-10,24.3,17.6
Makkah,Northern,Reduced multi-state frame,2025-08-10,2025-08-10,High,Water Leak,Tonight education pass fine less. Official understand year season role.,2024-10-21,Renovation,Approved,2024-10-25,Gas,7274.18,2025-08-10,41.2,10.9
Madinah,Central,Synchronized reciprocal function,2025-08-10,2025-08-10,Severe,Noise,Rest factor hand growth goal result Mrs. Figure world especially hand term subject.,2025-07-17,Event,Pending,2025-07-20,Water,6676.0,2025-08-10,27.8,80.9
Jeddah,Eastern,Fully-configurable discrete infrastructure,2025-08-10,2025-08-10,Moderate,Waste,Character check recognize ask parent series guess. Himself capital long know building.,2025-05-15,Renovation,Pending,2025-08-02,Gas,2136.3,2025-08-10,25.9,32.3
Jeddah,Western,Customer-focused client-server approach,2025-08-10,2025-08-10,Moderate,Water Leak,Travel growth forward serious that. Night free special he American camera.,2024-08-19,Business License,Pending,2025-05-29,Electricity,5679.28,2025-08-10,15.6,41.9
Jeddah,Western,Reactive object-oriented methodology,2025-08-10,2025-08-10,High,Road Damage,"Water measure general of to.
Blood six material sense. Half fill order future million area.",2024-09-14,Event,Approved,2024-11-09,Gas,7560.53,2025-08-10,29.2,78.3
Jeddah,Eastern,Ergonomic responsive system engine,2025-08-10,2025-08-10,Severe,Water Leak,Increase nothing brother serve our beyond.,2024-09-27,Construction,Rejected,2024-08-10,Gas,5689.35,2025-08-10,34.5,45.2
Riyadh,Southern,Proactive real-time system engine,2025-08-10,2025-08-10,Moderate,Electricity,However effort with. Plant exist suggest investment still best note.,2025-07-12,Renovation,Approved,2025-02-25,Gas,9959.99,2025-08-10,36.0,43.3
Tabuk,Central,Assimilated 6thgeneration hardware,2025-08-10,2025-08-10,Severe,Water Leak,Member someone we. Too cup true pull.,2024-10-01,Renovation,Approved,2025-03-23,Gas,1671.62,2025-08-10,17.4,69.6
Makkah,Eastern,Quality-focused solution-oriented structure,2025-08-10,2025-08-10,Low,Noise,"Key manage be whether hear rise trial. Property build current himself.
Firm most draw full herself.",2025-03-01,Business License,Approved,2025-07-23,Gas,7947.02,2025-08-10,28.9,65.0
